idx_original|situacao|flag_efisco_vermelho|flag_catmat_vermelho|match_parcial|classe_efisco|classe_catmat|codigo_efisco|codigo_catmat|item_efisco|item_catmat
1|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|2926881|605292|AGULHA DE MIELOGRAMA - ACO INOXIDAVEL, (ASPIRATIVA - ESTERNO E CRISTA ILIACA),COM LIMITADOR DE PROFUNDIDADE, SILICONIZADA,,USO UNICO, DESCARTAVEL E ESTERIL,PARA BIOPSIA OSSEA ( MIELOGRAMA ),15G X 10 CM,BISEL CORTANTE DE 45º, CONEXAO LUER LOCK,INDIVIDUAL EM PAPEL GRAU CIRURGICO,TRAVA DE SEGURANCA, PLUG ANTI-REFLUXO, CABO ANATOMICO. O PRODUTO DEVERA OBEDECER A O PRODUTO DEVERA ESTAR DE ACORDO COM O ART.31 LEI 8.078/90|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ INFUSÃO , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: CERCA DE 16 G X 0,5 A 1,5 CM, AJUSTÁVEL , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: C/ EMPUNHADURA , COMPONENTE 2: C/ AJUSTE DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , COMPONENTE ADICIONAL: C/ APLICADOR , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL 
2|CATMAT_ALTERNATIVO; MAPEAMENTO_INCERTO|False|False|True|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|2926342|605291|AGULHA DE MIELOGRAMA - ACO INOXIDAVEL, (ASPIRATIVA - ESTERNO E CRISTA ILIACA),COM LIMITADOR DE PROFUNDIDADE, SILICONIZADA,,USO UNICO, DESCARTAVEL E ESTERIL,PARA BIOPSIA OSSEA ( MIELOGRAMA ),15G X 5 CM,BISEL CORTANTE DE 45º, CONEXAO LUER LOCK,INDIVIDUAL EM PAPEL GRAU CIRURGICO,TRAVA DE SEGURANCA, PLUG ANTI-REFLUXO, CABO ANATOMICO. O PRODUTO DEVERA OBEDECER A O PRODUTO DEVERA ESTAR DE ACORDO COM O ART.31 L.80 78/90|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ INFUSÃO , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: CERCA DE 16 G X 5 CM , MATERIAL AGULHA: AÇO INOXIDÁVEL , COMPONENTE 2: C/ MARCADOR DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , COMPONENTE ADICIONAL: P/ USO COM APLICADOR , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL 
2|CATMAT_ALTERNATIVO; MAPEAMENTO_INCERTO|False|False|True|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|2926342|605313|AGULHA DE MIELOGRAMA - ACO INOXIDAVEL, (ASPIRATIVA - ESTERNO E CRISTA ILIACA),COM LIMITADOR DE PROFUNDIDADE, SILICONIZADA,,USO UNICO, DESCARTAVEL E ESTERIL,PARA BIOPSIA OSSEA ( MIELOGRAMA ),15G X 5 CM,BISEL CORTANTE DE 45º, CONEXAO LUER LOCK,INDIVIDUAL EM PAPEL GRAU CIRURGICO,TRAVA DE SEGURANCA, PLUG ANTI-REFLUXO, CABO ANATOMICO. O PRODUTO DEVERA OBEDECER A O PRODUTO DEVERA ESTAR DE ACORDO COM O ART.31 L.80 78/90|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ ASPIRAÇÃO, BIÓPSIA , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: CERCA DE 14 G X 2,5 A 5 CM, AJUSTÁVEL , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: ROSQUEÁVEL , COMPONENTE 2: C/ AJUSTE DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL 
3|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|2960311|627036|AGULHA DE MIELOGRAMA - ACO INOXIDAVEL, (ASPIRATIVA - ESTERNO E CRISTA ILIACA),COM LIMITADOR DE PROFUNDIDADE, SILICONIZADA,,USO UNICO, DESCARTAVEL E ESTERIL,PARA BIOPSIA OSSEA (MIELOGRAMA),16GA X 10 CM,BISEL CORTANTE DE 45º, CONEXAO LUER LOCK,INDIVIDUAL EM PAPEL GRAU CIRURGICO,TRAVA DE SEGURANCA, PLUG ANTI-REFLUXO, CABO ANATOMICO.O PRODUTO DEVERA ESTAR DE ACORDO COM O ARTIGO 31 LEI 8.078/1990|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ ASPIRAÇÃO, BIÓPSIA , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: Cerca De 16 G X 7,5 A 10 Cm, Ajustável , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: C/ EMPUNHADURA E ROSQUEÁVEL , COMPONENTE 1: C/ MANDRIL , COMPONENTE 2: C/ AJUSTE DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL 
4|CATMAT_ALTERNATIVO|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|959910|605293|AGULHA DE MIELOGRAMA - ILLINOIS, 18 GA, DESCARTAVEL, PARA BIOPSIA E ASPIRACAO DE MEDULA, 0,16CM A 3,65CM, BORDAS AFIADAS, INDIVIDUAL EM PAPEL GRAU CIRURGICO, O PRODUTO DEVERA OBEDECER A COMBINADO COM O ART.31 L.8078/90|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ INFUSÃO , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: CERCA DE 18 G X 1,5 A 2,5 CM, AJUSTÁVEL , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: C/ EMPUNHADURA , COMPONENTE 2: C/ AJUSTE DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , COMPONENTE ADICIONAL: C/ APLICADOR , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL 
5|COM_COMENTARIO; CATMAT_ALTERNATIVO|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|1201859|627034|AGULHA PARA PUNCAO DESCARTAVEL - EM MATERIAL ATOXICO, APIROGENICO ACO INOX, HASTE MEDINDO 7CM DE COMPRIMENTO, CALIBRE CAL. 18G, ESTERIL A OXIDO DE ETILENO,EMBALADO EM PAPEL GRAU CIRURGICO, EMBALADO EM ART.31 L.8078/90 PORT.CONJ.N.1 DE 23/1/96-M.SAUDE, O PRODUTO DEVERA OBEDECER A COMBINADO COM O ART.31 L.8078/90|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ ASPIRAÇÃO, BIÓPSIA , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: Cerca De 18 G X 7,5 A 10 Cm, Ajustável , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: C/ EMPUNHADURA E ROSQUEÁVEL , COMPONENTE 1: C/ MANDRIL , COMPONENTE 2: C/ AJUSTE DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL 
6|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|157554|626631|"AGULHA PERIDURAL COM CONEXAO LUER-LOCK DESCARTAVEL - EM ACO INOXIDAVEL DE TUOHY, TIPO CANHAO LUER LOCK, COM PONTA HUER, COM MANDRIL METALICO AJUSTADO, TAMANHO G16 X 3 1/4"" OU 80 X 16, O PRODUTO DEVERA OBEDECER A COMB.C/ART.31 LEI 8078/90, CONTENDO DADOS DE IDENTIFICACAO E PROCEDENCIA, VALIDADE, LOTE E REG. MS"|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: PERIDURAL , MODELO AGULHA: AGULHA PONTA TUOHY , DIÂMETRO AGULHA: 16 G , COMPRIMENTO AGULHA: CERCA DE 3"" - 80 MM , CARACTERÍSTICA AGULHA: GRADUADA , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
7|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|321036|626632|"AGULHA PERIDURAL COM CONEXAO LUER-LOCK DESCARTAVEL - EM BISEL TOUHY, PONTA CURVA, CANULA DEMARCADA E CANHAO LUER-LOCK, TIPO PARA PERIDURAL SIMPLES E CONTINUA, TAMANHO G16 X 3 1/2"", O PRODUTO DEVERA OBEDECER A COMB. COM ART.31 DA LEI 8078/90, CONTENDO DADOS DE IDENTIFICACAO,PROCEDENCIA,VAL,LOTE E REG. NO MS"|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: PERIDURAL , MODELO AGULHA: AGULHA PONTA TUOHY , DIÂMETRO AGULHA: 16 G , COMPRIMENTO AGULHA: CERCA DE 3 1/2"" - 90 MM , CARACTERÍSTICA AGULHA: GRADUADA , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
8|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|1818260|626634|AGULHA PERIDURAL COM CONEXAO LUER-LOCK DESCARTAVEL - EM ACO INOXIDAVEL DE TUOHY, TIPO CANHAO LUER LOCK, COM PONTA HUER, COM MANDRIL METALICO AJUSTADO, ESTERIL, TAMANHO 17G X 3 1/4, O PRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE, EMBALAGEM INDIVIDUAL EM PAPELGRAU CIRURGICO E/OU COM FILME TERMOPLASTICO.|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: PERIDURAL , MODELO AGULHA: AGULHA PONTA TUOHY , DIÂMETRO AGULHA: 17 G , COMPRIMENTO AGULHA: CERCA DE 3"" - 80 MM , CARACTERÍSTICA AGULHA: GRADUADA , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
9|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|1709550|626635|AGULHA PERIDURAL COM CONEXAO LUER-LOCK DESCARTAVEL - EM ACO INOX, TIPO TUOHY, TAMANHO G17 3 1/2, O PRODUTO DEVERA OBEDECER A DE ACORDO COM A LEGISLACAO VIGENTE|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: PERIDURAL , MODELO AGULHA: AGULHA PONTA TUOHY , DIÂMETRO AGULHA: 17 G , COMPRIMENTO AGULHA: CERCA DE 3 1/2"" - 90 MM , CARACTERÍSTICA AGULHA: GRADUADA , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
