codigo_efisco|posicao|faixa|origem|grupo_efisco|classe_efisco|tem_medida|medidas_consulta|item_efisco|top1_catmat|top1_classe|correto_catmat|correto_classe|mesmo_pdm_top1_correto|movimento
564614-6|1.0|1|big_data|MOBILIARIOS EM GERAL|MOBILIARIOS DE ALOJAMENTO - CADASTRO PADRONIZADO|True|{'MM': {2100.0, 1620.0, 860.0}, 'PCT': {5.0}}|CAMA - TIPO BELICHE,EM ACO,REVESTIDO EM PINTURA EPOXI,MEDINDO 210,00X86,00X162,00CM (AXLXC),DIMENSOES COM VARIACAO EM ATE 5%|CAMA CONJUGADA, MATERIAL: AÇO , QUANTIDADE LEITOS: 2 UN, COMPRIMENTO: 1,97 M, LARGURA: 96 CM, CARACTERÍSTICAS ADICIONAIS: COM ESCADA LATERAL , ALTURA: 180 CM, TIPO: BELICHE |MOBILIÁRIO DOMÉSTICO|CAMA CONJUGADA, MATERIAL: AÇO , QUANTIDADE LEITOS: 2 UN, COMPRIMENTO: 1,97 M, LARGURA: 96 CM, CARACTERÍSTICAS ADICIONAIS: COM ESCADA LATERAL , ALTURA: 180 CM, TIPO: BELICHE |MOBILIÁRIO DOMÉSTICO|True|entrou
99490-1|3.0|2-3|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|TIRAS REAGENTES|False||KIT PARA DETECCAO DE SANGUE OCULTO - DETERMINACAO DA PRESENCA DE SANGUE OCULTO EM AMOSTRAS DE FEZES, COM DISPOSITIVO DE TESTE CONTENDO REAGENTES IMOBILIZADOS, EM UMA MEMBRANA NUMA PROTEINA MATRIZ COM AZIDA SODICA, ENSAIO POR METODO IMUNOCROMATOGRAFICO RAPIDO, ACONDICIONADO EM CAIXA COM 25 TESTES, ROTULO CONTENDO NR. DE LOTE, DATA DE FABRICACAO/VALIDADE, FORMULA E PROCEDENCIA|REAGENTE PARA DIAGNÓSTICO CLÍNICO 4, TIPO: CONJUNTO COMPLETO , TIPO DE ANÁLISE: QUALITATIVO DE ROTAVÍRUS E ADENOVÍRUS , MÉTODO: IMUNOCROMATOGRAFIA , APRESENTAÇÃO: TESTE , CARACTERÍSTICAS ADICIONAIS: EM AMOSTRAS FECAIS |"SUBSTÂNCIAS PARA DIAGNÓSTICO ""IN VITRO"",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE"|REAGENTE PARA DIAGNÓSTICO CLÍNICO 7, TIPO*: CONJUNTO COMPLETO , TIPO DE ANÁLISE*: QUANTITATIVO CALPROTECTINA FECAL , APRESENTAÇÃO*: TESTE , MÉTODO*: IMUNOCROMATOGRAFIA |"SUBSTÂNCIAS PARA DIAGNÓSTICO ""IN VITRO"",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE"|False|entrou
155706-8|3.0|2-3|profs_saude|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {20.0}}|FIO DE SUTURA POLIESTER TRANCADO COM CERA - EM FILAMENTOS DE POLIESTER TRANCADO, TRANCADO COM COM 2 AGULHAS ATRAUMATICAS CARDIOVASCULAR DE TAM 2,0 C/AGULHA DE 2,0 CM, COM AGULHA, INVOLUCRO EM ENVELOPE INDIVIDUAL, CX C/ 24 ENVELOPES, ROTULAGEM RESPEITANDO O DECRETO LEI 7909477|FIO DE SUTURA AGULHADO, MATERIAL FIO: POLIÉSTER C/ ALGODÃO AZUL , MODELO FIO: MULTIFILAMENTAR , DIÂMETRO FIO: 0 / 1-0 , COMPRIMENTO FIO: CERCA DE 45 CM, TIPO AGULHA: AGULHA 1/2 CÍRCULO , MODELO AGULHA: CILÍNDRICA , COMPRIMENTO AGULHA: CERCA DE 20 MM, ESTERILIDADE: ESTÉRIL , APRESENTAçãO: EMBALAGEM INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|FIO DE SUTURA AGULHADO, MATERIAL FIO: POLIÉSTER VERDE , MODELO FIO: MULTIFILAMENTAR , COMPONENTE FIO: C/ REVESTIMENTO DESLIZANTE , DIÂMETRO FIO: 2-0 , COMPRIMENTO FIO: CERCA DE 70 CM, TIPO AGULHA: 2 AGULHAS 1/2 CÍRCULO NAS EXTREMIDADES , MODELO AGULHA: CILÍNDRICA , COMPRIMENTO AGULHA: CERCA DE 20 MM, ESTERILIDADE: ESTÉRIL , APRESENTAçãO: EMBALAGEM INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|True|entrou
287229-3|1.0|1|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MOBILIARIOS MEDICO HOSPITALARES|True|{'ML': {25000.0}}|LIXEIRA HOSPITALAR - EM POLIPROPILENO,COM TAMPA ACIONADA POR PEDAL COM EIXO DE FERRO , COM PRENDEDOR DO SACO PLASTICO PARA LIXO, CAPACIDADE  APROXIMADAMENTE 25 LITROS, RETANGULAR, SUPERFICIE INTERNA E EXTERNA LISA, MATERIAL NAO RECICLAVEL, CANTOS ARREDONDADOS,NA COR BRANCA,DE ACORDO COM A RESOLUCAO DO CONAMA NR. 275.|LIXEIRA, MATERIAL: PLÁSTICO RESISTENTE , CAPACIDADE: 25 L, CARACTERÍSTICAS ADICIONAIS: COM TAMPA E PEDAL |RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL|LIXEIRA, MATERIAL: PLÁSTICO RESISTENTE , CAPACIDADE: 25 L, CARACTERÍSTICAS ADICIONAIS: COM TAMPA E PEDAL |RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL|True|entrou
185661-8|2.0|2-3|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {20.0}}|KIT COM TUBO ENDOBRONQUIAL - DE DUPLO LUMEN(TRAQUEAL E BRONQUIAL),DESCARTAVEL,ESTERIL EM OXIDO DE ETILENO,CONFECCIONADO EM PVC,, TRANSPARENTE,PARA PERMITIR A VENTILACAO SELETIVADOS PULMOES. COM 02 BALOES INTERNOS,VALVULAS SELF-, SEALING EXTERNAS ADAPTAVEIS A SERINGA E BALOES PIPILOTOS INDIVIDUAIS CODIFICADAS ATRAVES DE CORES., BALAO TRAQUEAL CONFECCIONADO P/EXERCER BAIXA PRESSAO A TRAQUEIA QUANDO INSUFLADO. PONTA ATRAUMATICA, ACOMPANHA UM GUIA DE INTUBACAO,TRES CATETERES DESUCCAO E UM CONECTOR DE CARLEANS EM FORMA DE Y C/, DOIS ADAPTADORES DUPLOS GIRATORIOS. LADO ESQUERDON.35,C/ BALAO BRONQUIAL EM FORMA DE -S-. COM, ORIFICIO LATERAL DE MURPHY RADIOPACO NA PONTA BRONQUIAL P/EVITAR OCLUSAO DA VIA E AUMENTO DA RESIS, TENCIA RESPIRATORIA. COM LINHAS RADIOPACAS NAS PONTAS DOS TUBOS E UMA LINHA RADIOPACA A 2CM DO ORI, FICIO DE MURPHY PARA MELHOR VISUALIZACAO DO POSICIONAMENTO DO TUBO., .EMBALAGEM INDIVIDUAL EM INVOLUCRO APROPRIADO., .ACONDICIONAMENTO DE ACORDO COM AS EXIGENCIAS, DO MS., .|TUBO ENDOBRONQUIAL, MODELO: DUPLO LÚMEN C/ GANCHO DE CARINA , TIPO USO: ESQUERDO , CALIBRE: 39 FR , MATERIAL*: PVC , COMPONENTES: C/ BALÃO TRAQUEAL E ENDOBRONQUIAL , CONECTOR: CONECTORES , ADICIONAL 1: FIO GUIA , ADICIONAL: SONDAS ASPIRAÇÃO , ADICIONAL*: RADIOPACO, GRADUADO , APRESENTAÇÃO: CONJUNTO COMPLETO, EMBALAGEM INDIVIDUAL , ESTERILIDADE*: ESTÉRIL, USO ÚNICO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|TUBO ENDOBRONQUIAL, MODELO: DUPLO LÚMEN S/ GANCHO DE CARINA , TIPO USO: ESQUERDO , CALIBRE: 37 FR , MATERIAL*: PVC , COMPONENTES: C/ BALÃO TRAQUEAL E ENDOBRONQUIAL , CONECTOR: CONECTORES , ADICIONAL 1: FIO GUIA , ADICIONAL: SONDAS ASPIRAÇÃO , ADICIONAL*: RADIOPACO, GRADUADO , APRESENTAÇÃO: CONJUNTO COMPLETO, EMBALAGEM INDIVIDUAL , ESTERILIDADE*: ESTÉRIL, USO ÚNICO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|True|entrou
485525-6|2.0|2-3|profs_saude|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {100.0}, 'G_GAUGE': {8.0}}|CANULA - PARA BIOPSIA EM ACO INOXIDAVEL, COM DOIS MANDRIS, SENDO UM EMPURRADOR E OUTRO COM SISTEMA DE TRAVAMENTO DA AMOSTRA COLETADO, DESCARTAVEL, EXTRATORA COM CONEXAO LUER-LOK,PARA ASPIRACAO DE MEDULA E FRAGMENTO OSSEO,DIAMETRO EXTERNO 8G,E COMPRIMENTO 10,00CM|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ ASPIRAÇÃO, BIÓPSIA , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: CERCA DE 8 G X 10 CM , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: C/ EMPUNHADURA , COMPONENTE 1: C/ MANDRIL , COMPONENTE 2: C/ AJUSTE DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ ASPIRAÇÃO, BIÓPSIA, INFUSÃO , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , TIPO: JAMSHIDI , DIMENSÕES: CERCA DE 8 G X 10 CM , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: C/ EMPUNHADURA , COMPONENTE 1: C/ MANDRIL , COMPONENTE 3: CONECTOR LUER , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|True|entrou
12781-7|1.0|1|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {35.0, 1500.0}, 'ML': {31000.0}}|FIO DE SUTURA CATGUT - ESTERIL, SIMPLES, CALIBRE 3-0, 1 AGULHA CILINDRICA, AGULHA DE 3,5 CM, 1/2 CIRCULO, FIO COM 150 CM, ROTULAGEM RESPEITANDO O DECRETO LEI 79094/77 ART.31 L.8078/90 PORT.CONJ.N.1 DE 23/1/96-M.SAUDE, CONTENDO DADOS DE VALIDADE, LOTE E REGISTRO DO MS, APRESENTACAO CONFORME DEC. LEI 79094/77 COMBINADO COM O ART.31 L.8078/90, CONTENDO DADOS DE IDENTIFICACAO E PROCEDENCIA|FIO DE SUTURA S/ AGULHA, MATERIAL: CATGUT SIMPLES , MODELO: MULTIFILAMENTAR , DIâMETRO: 3-0 , COMPRIMENTO: CERCA DE 150 CM, ESTERILIDADE: ESTÉRIL , APRESENTAÇÃO: EMBALAGEM INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|FIO DE SUTURA S/ AGULHA, MATERIAL: CATGUT SIMPLES , MODELO: MULTIFILAMENTAR , DIâMETRO: 3-0 , COMPRIMENTO: CERCA DE 150 CM, ESTERILIDADE: ESTÉRIL , APRESENTAÇÃO: EMBALAGEM INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|True|entrou
576304-5|1.0|1|big_data|EQUIPAMENTOS E MATERIAIS PARA EXPERIENCIA EM LABORATORIO ESCOLAR, RECREACAO E DESPORTO|EQUIPAMENTOS ESPORTIVOS E EDUCATIVOS|True|{'MM': {2200.0, 50.0}}|BARRA MOVEL - EM ACO INOXIDAVEL,REDONDA,COM 2,20M DE COMPRIMENTO E 50,00MM DE DIAMETRO DA PONTA,DO TIPO OLIMPICA|APARELHO / EQUIPAMENTO PARA CONDICIONAMENTO FÍSICO, TIPO: BARRA , MATERIAL: AÇO , APLICAÇÃO: CONDICIONAMENTO FÍSICO , CARACTERISTICAS ADICIONAIS: COM 2 PRESILHAS , DIMENSÕES: 2,20 M|EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO|APARELHO / EQUIPAMENTO PARA CONDICIONAMENTO FÍSICO, TIPO: BARRA , MATERIAL: AÇO , APLICAÇÃO: CONDICIONAMENTO FÍSICO , CARACTERISTICAS ADICIONAIS: COM 2 PRESILHAS , DIMENSÕES: 2,20 M|EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO|True|entrou
528604-2|2.0|2-3|big_data|VEICULOS RODOVIARIOS|VEICULO OPERACIONAL - CADASTRO PADRONIZADO|False||VEICULO DE SOCORRO E SALVAMENTO - PARA ATENDIMENTO PRE-HOSPITALAR,FURGAO, UNIDADE DE SUPORTE BASICO (USB),POTENCIA MINIMA DE 130 CV,COMBUSTIVEL DIESEL,TRANSMISSAO MANUAL,CAPACIDADE PARA NO MINIMO 3 PESSOAS NA CABINE,COM SINALIZACAO ACUSTICA E VISUAL, SISTEMA DE OXIGENACAO, MACA RETRATIL E RADIO TRANSCEPTOR DIGITAL MOVEL|VEÍCULO TRANSPORTE PESSOAL, TIPO: FURGÃO , COMBUSTÍVEL: ÓLEO DIESEL , CAPACIDADE TANQUE COMBUSTÍVEL: 65 L, COR: BRANCA , QUANTIDADE PORTAS: 05 UN, CILINDRADA: MÍNIMA 1.950 CC, POTÊNCIA MÍNIMA: 100 CV|VEÍCULOS SOBRE RODAS|AMBULÂNCIA, TIPO: FURGÃO , CAPACIDADE MÍNIMA CARGA: 1.500 KG, COR: BRANCA , FORMATO SINALIZADOR: ASA DELTA , ESTRUTURA SINALIZADOR: AÇO EXTRUDADO , TIPO SINALIZADOR: LED COM LENTES VERMELHAS , COMBUSTÍVEL: DIESEL , QUANTIDADE PORTAS: 2 FRONTAIS 1 LATERAL DESLIZANTE 2 TRASEIRAS FOLHA , POTÊNCIA: 130 CV, TIPO CAMBIO: MECÂNICO , CILINDRADA: 1950 CC, QUANTIDADE MARCHAS TRANSMISSÃO A FRENTE: 5 UN, ANO FABRICAÇÃO/ANO MODELO: 0 KM |VEÍCULOS SOBRE RODAS|False|entrou
456929-6|1.0|1|big_data|EQUIPAMENTOS FOTOGRAFICOS, FILMOGRAFICOS E FONOGRAFICOS|EQUIPAMENTOS CINEMATOGRAFICOS E SEUS ACESSORIOS|True|{'MM': {2000.0}}|TRIPE - EM ALUMINIO,COM PINO DE ENGATE COM ROSCA UNIVERSAL,NA COR PRETA, TIPO UNIVERSAL PARA ILUMINADOR, COMPATIVEL COM ILUMINADORES EM LED,COM ALTURA MAXIMA DE 2,00M,ESTRUTURA TUBULAR, COM NO MINIMO 2 ESTAGIOS DE ALTURA|TRIPÉ, MATERIAL: AÇO CARBONO , ALTURA MÁXIMA: 2 M, CAPACIDADE: 10 KG, APLICAÇÃO: PROJETORES MULTIMÍDIA , ALTURA MÍNIMA: 1,20 M|EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS|TRIPÉ, MATERIAL: AÇO CARBONO , ALTURA MÁXIMA: 2 M, CAPACIDADE: 10 KG, APLICAÇÃO: PROJETORES MULTIMÍDIA , ALTURA MÍNIMA: 1,20 M|EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS|True|entrou
