posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
1,basico + e5 + medidas_graphrag,basico,e5,medidas_graphrag,1375,0.6928,0.5847,0.7775,0.8371,0.8822,0.5847,394.11
2,nada + e5 + medidas_graphrag,nada,e5,medidas_graphrag,1375,0.7022,0.6007,0.768,0.8393,0.8953,0.6007,657.84
3,basico + e5 + unidades_graphrag,basico,e5,unidades_graphrag,1375,0.6614,0.544,0.7549,0.8204,0.8764,0.544,394.12
4,nada + e5 + unidades_graphrag,nada,e5,unidades_graphrag,1375,0.6804,0.5702,0.7542,0.8269,0.8887,0.5702,657.9
5,basico + tfidf + unidades_graphrag,basico,tfidf,unidades_graphrag,1375,0.6686,0.5556,0.7491,0.816,0.8836,0.5556,2.68
6,basico + tfidf + medidas_graphrag,basico,tfidf,medidas_graphrag,1375,0.6713,0.5593,0.7491,0.8189,0.8836,0.5593,2.61
7,basico + e5 + medidas,basico,e5,medidas,1375,0.6615,0.5462,0.7476,0.8138,0.8742,0.5462,394.05
8,nada + e5 + unidades,nada,e5,unidades,1375,0.6697,0.5556,0.7447,0.816,0.8836,0.5556,657.81
9,basico + e5 + nada,basico,e5,nada,1375,0.6689,0.5622,0.7425,0.8058,0.8691,0.5622,393.97
10,nada + e5 + medidas,nada,e5,medidas,1375,0.6715,0.5615,0.7411,0.8211,0.8851,0.5615,657.77
11,nada + e5 + nada,nada,e5,nada,1375,0.6748,0.5687,0.7404,0.8116,0.8815,0.5687,657.7
12,basico + e5 + unidades,basico,e5,unidades,1375,0.648,0.5273,0.7375,0.8051,0.8727,0.5273,394.07
13,basico + tfidf + medidas,basico,tfidf,medidas,1375,0.6696,0.5615,0.7367,0.8102,0.88,0.5615,2.52
14,basico + tfidf + graphrag,basico,tfidf,graphrag,1375,0.6641,0.5571,0.7353,0.8051,0.8793,0.5571,2.56
15,basico + tfidf + nada,basico,tfidf,nada,1375,0.6506,0.5353,0.7265,0.8087,0.8756,0.5353,2.46
16,basico + tfidf + unidades,basico,tfidf,unidades,1375,0.6435,0.5251,0.7236,0.8058,0.8778,0.5251,2.55
17,basico + e5 + graphrag,basico,e5,graphrag,1375,0.6314,0.5098,0.7156,0.7964,0.8684,0.5098,394.14
18,nada + e5 + graphrag,nada,e5,graphrag,1375,0.6338,0.5105,0.7084,0.7884,0.8771,0.5105,657.82
19,basico + tfidf + pdm,basico,tfidf,pdm,1375,0.6141,0.4865,0.6916,0.7789,0.8742,0.4865,2.77
20,basico + e5 + pdm,basico,e5,pdm,1375,0.5976,0.4727,0.6764,0.7615,0.8509,0.4727,394.15
21,nada + e5 + pdm,nada,e5,pdm,1375,0.5949,0.4676,0.6735,0.7549,0.8538,0.4676,657.98
22,nada + tfidf + unidades_graphrag,nada,tfidf,unidades_graphrag,1375,0.5895,0.4778,0.6662,0.7287,0.808,0.4778,1.59
23,nada + tfidf + graphrag,nada,tfidf,graphrag,1375,0.5797,0.4676,0.6553,0.7338,0.8015,0.4676,8.34
24,nada + tfidf + medidas_graphrag,nada,tfidf,medidas_graphrag,1375,0.5765,0.4596,0.6502,0.7273,0.8058,0.4596,1.51
25,nada + tfidf + medidas,nada,tfidf,medidas,1375,0.5743,0.4604,0.6407,0.7193,0.7985,0.4604,5.48
26,nada + tfidf + unidades,nada,tfidf,unidades,1375,0.5611,0.4422,0.6364,0.7055,0.7898,0.4422,1.46
27,nada + tfidf + nada,nada,tfidf,nada,1375,0.5544,0.4371,0.6269,0.7011,0.7876,0.4371,1.34
28,nada + tfidf + pdm,nada,tfidf,pdm,1375,0.5508,0.4305,0.6255,0.7091,0.8015,0.4305,1.59
