posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
1,basico + e5_tfidf + nada,basico,e5_tfidf,nada,1375,0.7097,0.6022,0.7884,0.8502,0.9105,0.6022,1.24
2,basico + e5 + medidas_graphrag_idf,basico,e5,medidas_graphrag_idf,1375,0.7049,0.6036,0.7869,0.8407,0.8865,0.6036,0.31
3,nada + e5 + medidas_graphrag_idf,nada,e5,medidas_graphrag_idf,1375,0.7092,0.6073,0.7818,0.8487,0.9004,0.6073,0.25
4,basico + e5 + medidas_graphrag,basico,e5,medidas_graphrag,1375,0.6926,0.5862,0.7782,0.8356,0.8851,0.5862,0.33
5,basico + e5 + medidas_graphrag_idf_taxonomia,basico,e5,medidas_graphrag_idf_taxonomia,1375,0.6879,0.5833,0.7767,0.832,0.8764,0.5833,0.35
6,nada + e5 + medidas_graphrag_idf_taxonomia,nada,e5,medidas_graphrag_idf_taxonomia,1375,0.7007,0.5978,0.7738,0.8429,0.8895,0.5978,0.28
7,nada + e5 + medidas_graphrag,nada,e5,medidas_graphrag,1375,0.7019,0.5985,0.7724,0.8393,0.8975,0.5985,2.72
8,basico + e5_tfidf + medidas,basico,e5_tfidf,medidas,1375,0.6852,0.5673,0.7709,0.8407,0.9091,0.5673,1.3
9,basico + e5_tfidf_taxonomia + medidas_graphrag_idf,basico,e5_tfidf_taxonomia,medidas_graphrag_idf,1375,0.6638,0.528,0.7709,0.8451,0.9164,0.528,0.66
10,basico + e5_tfidf + medidas_graphrag,basico,e5_tfidf,medidas_graphrag,1375,0.6718,0.5462,0.768,0.8415,0.9084,0.5462,1.4
11,basico + e5_tfidf + medidas_graphrag_idf,basico,e5_tfidf,medidas_graphrag_idf,1375,0.6725,0.5469,0.7665,0.8473,0.9105,0.5469,1.41
12,basico + e5_tfidf_taxonomia + nada,basico,e5_tfidf_taxonomia,nada,1375,0.6312,0.472,0.7665,0.8415,0.9098,0.472,0.52
13,nada + e5 + medidas_graphrag_taxonomia,nada,e5,medidas_graphrag_taxonomia,1375,0.6885,0.5811,0.7651,0.8364,0.8858,0.5811,0.26
14,nada + e5_taxonomia + medidas_graphrag_idf,nada,e5_taxonomia,medidas_graphrag_idf,1375,0.6938,0.5964,0.7607,0.8305,0.8742,0.5964,0.24
15,basico + e5 + medidas_graphrag_taxonomia,basico,e5,medidas_graphrag_taxonomia,1375,0.677,0.5702,0.7593,0.8233,0.8727,0.5702,0.3
16,basico + e5_taxonomia + medidas_graphrag_idf,basico,e5_taxonomia,medidas_graphrag_idf,1375,0.6829,0.5862,0.7593,0.8109,0.8582,0.5862,0.26
17,basico + e5_tfidf_taxonomia + medidas_graphrag,basico,e5_tfidf_taxonomia,medidas_graphrag,1375,0.6451,0.5018,0.7571,0.84,0.9135,0.5018,0.72
18,nada + e5_taxonomia + medidas_graphrag,nada,e5_taxonomia,medidas_graphrag,1375,0.6868,0.5876,0.7549,0.8182,0.8691,0.5876,0.23
