posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
1,basico + e5 + medidas_graphrag_idf,basico,e5,medidas_graphrag_idf,1375,0.7044,0.6015,0.7891,0.8415,0.8865,0.6015,1.19
2,basico + e5_tfidf + nada,basico,e5_tfidf,nada,1375,0.7097,0.6022,0.7884,0.8502,0.9105,0.6022,1.76
3,nada + e5 + medidas_graphrag_idf,nada,e5,medidas_graphrag_idf,1375,0.7092,0.608,0.7804,0.8465,0.9004,0.608,0.32
4,basico + e5 + medidas_graphrag,basico,e5,medidas_graphrag,1375,0.6924,0.5847,0.7796,0.8385,0.8851,0.5847,1.21
5,basico + e5 + medidas_graphrag_idf_taxonomia,basico,e5,medidas_graphrag_idf_taxonomia,1375,0.6898,0.5855,0.7782,0.8356,0.8771,0.5855,1.23
6,nada + e5 + medidas_graphrag_idf_taxonomia,nada,e5,medidas_graphrag_idf_taxonomia,1375,0.704,0.6015,0.776,0.8436,0.8887,0.6015,0.36
7,nada + e5 + medidas_graphrag,nada,e5,medidas_graphrag,1375,0.7006,0.5971,0.7731,0.8385,0.8967,0.5971,2.67
8,nada + e5 + medidas_graphrag_taxonomia,nada,e5,medidas_graphrag_taxonomia,1375,0.6916,0.5855,0.7665,0.8356,0.8865,0.5855,0.3
9,basico + e5_tfidf_taxonomia + nada,basico,e5_tfidf_taxonomia,nada,1375,0.6312,0.472,0.7665,0.8415,0.9098,0.472,1.55
10,nada + e5_taxonomia + medidas_graphrag_idf,nada,e5_taxonomia,medidas_graphrag_idf,1375,0.698,0.6015,0.7644,0.832,0.8742,0.6015,0.26
11,basico + e5 + medidas_graphrag_taxonomia,basico,e5,medidas_graphrag_taxonomia,1375,0.6787,0.5709,0.7629,0.8247,0.8735,0.5709,1.18
12,basico + e5_tfidf + medidas_graphrag,basico,e5_tfidf,medidas_graphrag,1375,0.6743,0.5549,0.7629,0.8335,0.9069,0.5549,1.89
13,basico + e5_taxonomia + medidas_graphrag_idf,basico,e5_taxonomia,medidas_graphrag_idf,1375,0.6856,0.5884,0.7622,0.8131,0.8582,0.5884,1.15
14,basico + e5_tfidf_taxonomia + medidas_graphrag_idf,basico,e5_tfidf_taxonomia,medidas_graphrag_idf,1375,0.6711,0.5425,0.7622,0.8473,0.9142,0.5425,1.69
15,nada + e5_taxonomia + medidas_graphrag,nada,e5_taxonomia,medidas_graphrag,1375,0.6894,0.5898,0.7593,0.8204,0.8698,0.5898,0.27
16,basico + e5_tfidf + medidas_graphrag_idf,basico,e5_tfidf,medidas_graphrag_idf,1375,0.673,0.552,0.7593,0.84,0.9091,0.552,1.93
17,basico + e5_tfidf_taxonomia + medidas_graphrag,basico,e5_tfidf_taxonomia,medidas_graphrag,1375,0.6571,0.5222,0.7571,0.8436,0.9113,0.5222,1.69
18,basico + e5_taxonomia + medidas_graphrag,basico,e5_taxonomia,medidas_graphrag,1375,0.6728,0.5695,0.7542,0.808,0.8531,0.5695,1.15
19,basico + e5_tfidf_kg + nada,basico,e5_tfidf_kg,nada,1375,0.6639,0.5418,0.7498,0.8247,0.8989,0.5418,1.37
20,basico + e5_tfidf_kg + medidas_graphrag,basico,e5_tfidf_kg,medidas_graphrag,1375,0.6618,0.5411,0.7484,0.8233,0.8945,0.5411,1.53
21,basico + e5_tfidf + medidas,basico,e5_tfidf,medidas,1375,0.666,0.544,0.7476,0.8284,0.9069,0.544,1.84
22,nada + e5_tfidf + nada,nada,e5_tfidf,nada,1375,0.6744,0.5629,0.7462,0.8218,0.8887,0.5629,1.24
23,basico + e5 + nada,basico,e5,nada,1375,0.6689,0.5622,0.7425,0.8058,0.8691,0.5622,1.07
24,basico + e5_tfidf_kg + medidas_graphrag_idf,basico,e5_tfidf_kg,medidas_graphrag_idf,1375,0.6625,0.5462,0.7418,0.8175,0.8873,0.5462,1.51
25,basico + e5_tfidf_kg + medidas,basico,e5_tfidf_kg,medidas,1375,0.6556,0.5309,0.7411,0.8218,0.9084,0.5309,1.45
26,nada + e5 + nada,nada,e5,nada,1375,0.6748,0.5687,0.7404,0.8116,0.8815,0.5687,0.16
27,nada + e5 + taxonomia_rotulo,nada,e5,taxonomia_rotulo,1375,0.6709,0.5636,0.7389,0.8116,0.8684,0.5636,0.3
