posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
1,rede_semantica + e5_tfidf_lin + medidas_graphrag_idf,rede_semantica,e5_tfidf_lin,medidas_graphrag_idf,1375,0.732,0.6313,0.8087,0.8647,0.9105,0.6313,35.19
2,graphrag_leve + e5_tfidf_lin + medidas_graphrag_idf,graphrag_leve,e5_tfidf_lin,medidas_graphrag_idf,1375,0.705,0.592,0.7913,0.8618,0.9033,0.592,3.06
3,rede_semantica + e5_tfidf_lin + nada,rede_semantica,e5_tfidf_lin,nada,1375,0.7147,0.6131,0.784,0.8422,0.896,0.6131,35.0
4,graphrag_leve + e5_tfidf_lin + nada,graphrag_leve,e5_tfidf_lin,nada,1375,0.6878,0.5738,0.7731,0.8429,0.8975,0.5738,2.87
5,rede_semantica + e5 + medidas_graphrag_idf,rede_semantica,e5,medidas_graphrag_idf,1375,0.6862,0.5847,0.7724,0.8167,0.8756,0.5847,522.8
6,graphrag + e5_tfidf_lin + medidas_graphrag_idf,graphrag,e5_tfidf_lin,medidas_graphrag_idf,1375,0.6856,0.576,0.7665,0.8342,0.8967,0.576,3.28
7,graphrag_leve + e5 + medidas_graphrag_idf,graphrag_leve,e5,medidas_graphrag_idf,1375,0.6848,0.5847,0.7622,0.8211,0.8698,0.5847,456.49
8,graphrag + e5_tfidf_lin + nada,graphrag,e5_tfidf_lin,nada,1375,0.6595,0.5418,0.7425,0.8095,0.8909,0.5418,3.07
9,graphrag + e5 + medidas_graphrag_idf,graphrag,e5,medidas_graphrag_idf,1375,0.6628,0.5593,0.7396,0.8,0.8618,0.5593,495.07
10,graphrag_leve + e5 + nada,graphrag_leve,e5,nada,1375,0.6412,0.5302,0.7156,0.7833,0.8531,0.5302,456.19
11,rede_semantica + e5 + nada,rede_semantica,e5,nada,1375,0.6389,0.5302,0.712,0.7709,0.8516,0.5302,517.44
12,graphrag + e5 + nada,graphrag,e5,nada,1375,0.6214,0.5127,0.6916,0.7542,0.8364,0.5127,494.74
