posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
1,basico + e5_tfidf_char_lin + medidas_graphrag_idf,basico,e5_tfidf_char_lin,medidas_graphrag_idf,1375,0.7583,0.6611,0.8364,0.8836,0.9222,0.6611,0.41
2,basico + e5_tfidf_char_lin + medidas_graphrag_idf_taxonomia,basico,e5_tfidf_char_lin,medidas_graphrag_idf_taxonomia,1375,0.7503,0.6509,0.8313,0.8771,0.9236,0.6509,0.41
3,basico + e5_char_lin + medidas_graphrag_idf,basico,e5_char_lin,medidas_graphrag_idf,1375,0.7546,0.6589,0.8305,0.8771,0.9207,0.6589,4.46
4,basico + e5_tfidf_lin_taxonomia + medidas_graphrag_idf,basico,e5_tfidf_lin_taxonomia,medidas_graphrag_idf,1375,0.7494,0.6524,0.8276,0.8778,0.9171,0.6524,0.39
5,basico + e5_tfidf_char_lin + medidas,basico,e5_tfidf_char_lin,medidas,1375,0.7443,0.6436,0.8269,0.8749,0.9185,0.6436,0.31
6,basico + e5_char_lin + medidas_graphrag_idf_taxonomia,basico,e5_char_lin,medidas_graphrag_idf_taxonomia,1375,0.7469,0.6487,0.8262,0.8705,0.9156,0.6487,4.52
7,basico + e5_tfidf_char_lin + graphrag_idf_aditivo,basico,e5_tfidf_char_lin,graphrag_idf_aditivo,1375,0.7441,0.6429,0.8218,0.8807,0.9222,0.6429,0.33
8,basico + e5_tfidf_char_lin + taxonomia,basico,e5_tfidf_char_lin,taxonomia,1375,0.7386,0.6349,0.8211,0.872,0.9178,0.6349,0.22
9,basico + e5_tfidf_lin + medidas_graphrag_idf,basico,e5_tfidf_lin,medidas_graphrag_idf,1375,0.7418,0.6422,0.8196,0.8764,0.9185,0.6422,1.3
10,basico + e5_char_lin + graphrag_idf_aditivo,basico,e5_char_lin,graphrag_idf_aditivo,1375,0.7366,0.6335,0.8189,0.8742,0.9193,0.6335,4.38
11,basico + e5_tfidf_char_lin + nada,basico,e5_tfidf_char_lin,nada,1375,0.7433,0.6444,0.8189,0.8756,0.9178,0.6444,0.22
12,basico + e5_char_lin + medidas,basico,e5_char_lin,medidas,1375,0.7381,0.6393,0.8175,0.8625,0.9105,0.6393,4.36
13,basico + e5_tfidf_lin_taxonomia + graphrag_idf_aditivo,basico,e5_tfidf_lin_taxonomia,graphrag_idf_aditivo,1375,0.7337,0.6305,0.8167,0.8749,0.9149,0.6305,0.27
14,basico + e5_tfidf_lin + medidas_graphrag_idf_taxonomia,basico,e5_tfidf_lin,medidas_graphrag_idf_taxonomia,1375,0.732,0.6305,0.8145,0.8713,0.912,0.6305,1.35
15,basico + e5_tfidf_lin_taxonomia + nada,basico,e5_tfidf_lin_taxonomia,nada,1375,0.7342,0.6313,0.8138,0.8691,0.9135,0.6313,0.17
16,basico + e5_tfidf_lin + graphrag_idf_aditivo,basico,e5_tfidf_lin,graphrag_idf_aditivo,1375,0.7299,0.6262,0.8116,0.8727,0.9149,0.6262,4.98
17,basico + e5_tfidf_lin + nada,basico,e5_tfidf_lin,nada,1375,0.73,0.6262,0.8087,0.8655,0.9113,0.6262,1.1
18,basico + e5_tfidf_lin_taxonomia + medidas_graphrag_idf_taxonomia,basico,e5_tfidf_lin_taxonomia,medidas_graphrag_idf_taxonomia,1375,0.7237,0.6218,0.8087,0.8625,0.9076,0.6218,0.46
19,basico + e5_char_lin + nada,basico,e5_char_lin,nada,1375,0.7327,0.6327,0.8065,0.8625,0.9098,0.6327,4.28
20,basico + e5_char_lin + taxonomia,basico,e5_char_lin,taxonomia,1375,0.73,0.6305,0.8051,0.8589,0.9105,0.6305,4.28
21,basico + e5_tfidf_lin_taxonomia + medidas,basico,e5_tfidf_lin_taxonomia,medidas,1375,0.7216,0.616,0.8051,0.8625,0.912,0.616,0.24
22,basico + e5_tfidf_lin + medidas,basico,e5_tfidf_lin,medidas,1375,0.7164,0.6109,0.8022,0.8604,0.9127,0.6109,4.79
23,basico + e5_tfidf_lin + taxonomia,basico,e5_tfidf_lin,taxonomia,1375,0.7229,0.6189,0.8022,0.8589,0.9091,0.6189,5.3
24,basico + e5_tfidf_kg_lin + medidas,basico,e5_tfidf_kg_lin,medidas,1375,0.7126,0.6109,0.784,0.8524,0.9011,0.6109,0.51
25,basico + e5_tfidf_kg_lin + taxonomia,basico,e5_tfidf_kg_lin,taxonomia,1375,0.7008,0.5956,0.7833,0.8465,0.8931,0.5956,0.42
26,basico + e5_tfidf_kg_lin + medidas_graphrag_idf,basico,e5_tfidf_kg_lin,medidas_graphrag_idf,1375,0.7068,0.6058,0.7782,0.8451,0.896,0.6058,0.64
27,basico + e5_tfidf_kg_lin + medidas_graphrag_idf_taxonomia,basico,e5_tfidf_kg_lin,medidas_graphrag_idf_taxonomia,1375,0.7111,0.6131,0.7782,0.8465,0.8989,0.6131,0.64
28,basico + e5_tfidf_kg_lin + nada,basico,e5_tfidf_kg_lin,nada,1375,0.6958,0.5884,0.7775,0.8415,0.8945,0.5884,0.43
29,basico + e5_tfidf_lin_taxonomia + taxonomia,basico,e5_tfidf_lin_taxonomia,taxonomia,1375,0.6992,0.5949,0.7702,0.8364,0.8887,0.5949,0.17
30,basico + e5_tfidf_kg_lin + graphrag_idf_aditivo,basico,e5_tfidf_kg_lin,graphrag_idf_aditivo,1375,0.6798,0.5724,0.7571,0.8262,0.8815,0.5724,0.56
