posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
1,basico + e5_tfidf_char_lin + combinado_calibrado,basico,e5_tfidf_char_lin,combinado_calibrado,1375,0.763,0.6676,0.8415,0.8858,0.9229,0.6676,0.28
2,basico + e5_tfidf_char_lin + medidas_graphrag_idf,basico,e5_tfidf_char_lin,medidas_graphrag_idf,1375,0.7583,0.6611,0.8364,0.8836,0.9222,0.6611,0.27
3,basico + e5_tfidf_char_lin + medidas_graphrag,basico,e5_tfidf_char_lin,medidas_graphrag,1375,0.7567,0.6596,0.8342,0.8829,0.92,0.6596,0.23
4,basico + e5_char_lin + combinado_calibrado,basico,e5_char_lin,combinado_calibrado,1375,0.755,0.6589,0.832,0.88,0.9229,0.6589,2.89
5,basico + e5_char_lin + medidas_graphrag_idf,basico,e5_char_lin,medidas_graphrag_idf,1375,0.7546,0.6589,0.8305,0.8771,0.9207,0.6589,2.89
6,nada + e5_char_lin + medidas_graphrag,nada,e5_char_lin,medidas_graphrag,1375,0.7554,0.6625,0.8291,0.8815,0.9185,0.6625,4.08
7,nada + e5_char_lin + medidas_graphrag_idf,nada,e5_char_lin,medidas_graphrag_idf,1375,0.7597,0.6691,0.8284,0.8836,0.92,0.6691,4.1
8,nada + e5_char_lin + combinado_calibrado,nada,e5_char_lin,combinado_calibrado,1375,0.7554,0.6596,0.8276,0.8807,0.9193,0.6596,4.11
9,basico + e5_char_lin + medidas_graphrag,basico,e5_char_lin,medidas_graphrag,1375,0.7523,0.6567,0.8269,0.8705,0.9185,0.6567,2.89
10,basico + e5_tfidf_char_lin + medidas,basico,e5_tfidf_char_lin,medidas,1375,0.7443,0.6436,0.8269,0.8749,0.9185,0.6436,0.16
11,nada + e5_tfidf_char_lin + medidas_graphrag_idf,nada,e5_tfidf_char_lin,medidas_graphrag_idf,1375,0.7502,0.6538,0.8262,0.8785,0.92,0.6538,0.27
12,nada + e5_tfidf_char_lin + combinado_calibrado,nada,e5_tfidf_char_lin,combinado_calibrado,1375,0.7533,0.6582,0.8262,0.8807,0.9207,0.6582,0.25
13,nada + e5_tfidf_char_lin + medidas_graphrag,nada,e5_tfidf_char_lin,medidas_graphrag,1375,0.7518,0.6567,0.8247,0.8771,0.9193,0.6567,0.22
14,basico + e5_tfidf_lin + combinado_calibrado,basico,e5_tfidf_lin,combinado_calibrado,1375,0.7454,0.648,0.8247,0.8793,0.9193,0.648,0.26
15,basico + e5_tfidf_char_lin + graphrag_idf_aditivo,basico,e5_tfidf_char_lin,graphrag_idf_aditivo,1375,0.7441,0.6429,0.8218,0.8807,0.9222,0.6429,0.18
16,nada + e5_tfidf_lin + combinado_calibrado,nada,e5_tfidf_lin,combinado_calibrado,1375,0.7361,0.6356,0.8211,0.8771,0.9113,0.6356,0.23
17,basico + e5_tfidf_lin + medidas_graphrag,basico,e5_tfidf_lin,medidas_graphrag,1375,0.7406,0.6407,0.8211,0.8727,0.9185,0.6407,0.25
18,basico + e5_tfidf_char_lin + taxonomia,basico,e5_tfidf_char_lin,taxonomia,1375,0.7386,0.6349,0.8211,0.872,0.9178,0.6349,0.09
19,basico + e5_tfidf_lin + medidas_graphrag_idf,basico,e5_tfidf_lin,medidas_graphrag_idf,1375,0.7418,0.6422,0.8196,0.8764,0.9185,0.6422,0.28
20,basico + e5_char_lin + graphrag_idf_aditivo,basico,e5_char_lin,graphrag_idf_aditivo,1375,0.7366,0.6335,0.8189,0.8742,0.9193,0.6335,2.82
21,basico + e5_tfidf_char_lin + nada,basico,e5_tfidf_char_lin,nada,1375,0.7433,0.6444,0.8189,0.8756,0.9178,0.6444,0.09
