pos,peso_medidas,peso_rel_taxonomia,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
medidas,0.01,0.3,1375,0.6904,0.5884,0.768,0.8225,0.8785,0.5884,2.7
graphrag_idf_aditivo,0.01,0.3,1375,0.6858,0.5833,0.7578,0.8211,0.8764,0.5833,5.0
taxonomia,0.01,0.3,1375,0.6724,0.5651,0.7498,0.8087,0.8713,0.5651,7.9
medidas_taxonomia,0.01,0.3,1375,0.694,0.592,0.7745,0.8291,0.88,0.592,8.0
medidas_graphrag_idf,0.01,0.3,1375,0.6958,0.5949,0.7695,0.8269,0.8807,0.5949,8.1
medidas_graphrag_idf_taxonomia,0.01,0.3,1375,0.7074,0.6065,0.7898,0.84,0.8851,0.6065,8.3
medidas,0.01,0.6,1375,0.6904,0.5884,0.768,0.8225,0.8785,0.5884,0.1
graphrag_idf_aditivo,0.01,0.6,1375,0.6858,0.5833,0.7578,0.8211,0.8764,0.5833,0.2
taxonomia,0.01,0.6,1375,0.674,0.5673,0.7513,0.8116,0.8727,0.5673,2.9
medidas_taxonomia,0.01,0.6,1375,0.6961,0.5942,0.7782,0.8298,0.8785,0.5942,3.0
medidas_graphrag_idf,0.01,0.6,1375,0.6958,0.5949,0.7695,0.8269,0.8807,0.5949,3.1
medidas_graphrag_idf_taxonomia,0.01,0.6,1375,0.7094,0.6095,0.7913,0.84,0.8844,0.6095,3.2
medidas,0.01,1.0,1375,0.6904,0.5884,0.768,0.8225,0.8785,0.5884,0.1
graphrag_idf_aditivo,0.01,1.0,1375,0.6858,0.5833,0.7578,0.8211,0.8764,0.5833,0.2
taxonomia,0.01,1.0,1375,0.6744,0.5673,0.752,0.8109,0.8691,0.5673,2.8
medidas_taxonomia,0.01,1.0,1375,0.6963,0.5949,0.7767,0.8291,0.8764,0.5949,2.9
medidas_graphrag_idf,0.01,1.0,1375,0.6958,0.5949,0.7695,0.8269,0.8807,0.5949,3.1
medidas_graphrag_idf_taxonomia,0.01,1.0,1375,0.7098,0.6102,0.7891,0.8393,0.8815,0.6102,3.2
medidas,0.02,0.3,1375,0.681,0.5738,0.7644,0.8218,0.8793,0.5738,0.1
graphrag_idf_aditivo,0.02,0.3,1375,0.6922,0.592,0.7622,0.8284,0.8785,0.592,0.2
taxonomia,0.02,0.3,1375,0.674,0.5673,0.7513,0.8116,0.8727,0.5673,2.8
medidas_taxonomia,0.02,0.3,1375,0.6876,0.5825,0.7709,0.8269,0.8793,0.5825,2.8
medidas_graphrag_idf,0.02,0.3,1375,0.705,0.6051,0.784,0.84,0.8844,0.6051,3.0
medidas_graphrag_idf_taxonomia,0.02,0.3,1375,0.712,0.6124,0.7935,0.8422,0.8887,0.6124,3.1
medidas,0.02,0.6,1375,0.681,0.5738,0.7644,0.8218,0.8793,0.5738,0.1
graphrag_idf_aditivo,0.02,0.6,1375,0.6922,0.592,0.7622,0.8284,0.8785,0.592,0.2
taxonomia,0.02,0.6,1375,0.6753,0.5695,0.752,0.8131,0.8691,0.5695,2.8
medidas_taxonomia,0.02,0.6,1375,0.6897,0.5847,0.7716,0.8276,0.8771,0.5847,2.8
medidas_graphrag_idf,0.02,0.6,1375,0.705,0.6051,0.784,0.84,0.8844,0.6051,3.0
medidas_graphrag_idf_taxonomia,0.02,0.6,1375,0.7164,0.6204,0.7927,0.8429,0.8836,0.6204,3.1
medidas,0.02,1.0,1375,0.681,0.5738,0.7644,0.8218,0.8793,0.5738,0.2
graphrag_idf_aditivo,0.02,1.0,1375,0.6922,0.592,0.7622,0.8284,0.8785,0.592,0.3
taxonomia,0.02,1.0,1375,0.6727,0.5673,0.7469,0.8095,0.8684,0.5673,2.8
medidas_taxonomia,0.02,1.0,1375,0.6905,0.5869,0.7716,0.824,0.8756,0.5869,2.9
medidas_graphrag_idf,0.02,1.0,1375,0.705,0.6051,0.784,0.84,0.8844,0.6051,3.0
medidas_graphrag_idf_taxonomia,0.02,1.0,1375,0.7158,0.6196,0.7913,0.8407,0.8829,0.6196,3.1
medidas,0.03,0.3,1375,0.6694,0.56,0.7542,0.8182,0.8771,0.56,0.1
graphrag_idf_aditivo,0.03,0.3,1375,0.6943,0.5927,0.7665,0.8305,0.8785,0.5927,0.2
taxonomia,0.03,0.3,1375,0.6745,0.568,0.7513,0.8102,0.8705,0.568,2.9
medidas_taxonomia,0.03,0.3,1375,0.6747,0.5658,0.7593,0.8218,0.8749,0.5658,2.9
medidas_graphrag_idf,0.03,0.3,1375,0.707,0.6058,0.7913,0.8407,0.8851,0.6058,3.1
medidas_graphrag_idf_taxonomia,0.03,0.3,1375,0.7084,0.6058,0.7913,0.8415,0.888,0.6058,3.2
medidas,0.03,0.6,1375,0.6694,0.56,0.7542,0.8182,0.8771,0.56,0.1
graphrag_idf_aditivo,0.03,0.6,1375,0.6943,0.5927,0.7665,0.8305,0.8785,0.5927,0.2
taxonomia,0.03,0.6,1375,0.674,0.5695,0.7484,0.8102,0.8691,0.5695,2.9
medidas_taxonomia,0.03,0.6,1375,0.6777,0.5709,0.7607,0.8189,0.8742,0.5709,2.9
medidas_graphrag_idf,0.03,0.6,1375,0.707,0.6058,0.7913,0.8407,0.8851,0.6058,3.1
medidas_graphrag_idf_taxonomia,0.03,0.6,1375,0.7112,0.6109,0.7913,0.8422,0.8829,0.6109,3.2
medidas,0.03,1.0,1375,0.6694,0.56,0.7542,0.8182,0.8771,0.56,0.1
graphrag_idf_aditivo,0.03,1.0,1375,0.6943,0.5927,0.7665,0.8305,0.8785,0.5927,0.2
taxonomia,0.03,1.0,1375,0.6656,0.5578,0.7396,0.8036,0.8662,0.5578,2.7
medidas_taxonomia,0.03,1.0,1375,0.6768,0.5687,0.7629,0.8182,0.872,0.5687,2.8
medidas_graphrag_idf,0.03,1.0,1375,0.707,0.6058,0.7913,0.8407,0.8851,0.6058,3.0
medidas_graphrag_idf_taxonomia,0.03,1.0,1375,0.7109,0.6124,0.792,0.8385,0.8793,0.6124,3.1
medidas,0.05,0.3,1375,0.6575,0.5455,0.7382,0.8124,0.8771,0.5455,0.1
graphrag_idf_aditivo,0.05,0.3,1375,0.6924,0.5913,0.7687,0.8298,0.88,0.5913,0.2
taxonomia,0.05,0.3,1375,0.6741,0.5687,0.7498,0.8145,0.8691,0.5687,2.7
medidas_taxonomia,0.05,0.3,1375,0.6623,0.5513,0.7433,0.8167,0.8749,0.5513,2.8
medidas_graphrag_idf,0.05,0.3,1375,0.7044,0.6015,0.7891,0.8415,0.8865,0.6015,2.9
medidas_graphrag_idf_taxonomia,0.05,0.3,1375,0.693,0.5884,0.7811,0.8429,0.8836,0.5884,3.1
