pos,peso_medidas,peso_rel_medidas,peso_rel_taxonomia,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
medidas_graphrag_idf,0.03,0.3,0.3,1375,0.7527,0.6575,0.8233,0.8807,0.9207,0.6575,11.7
medidas_graphrag_idf_taxonomia,0.03,0.3,0.3,1375,0.7594,0.6625,0.8371,0.8822,0.9244,0.6625,16.0
medidas_graphrag_idf,0.03,0.6,0.3,1375,0.7574,0.6633,0.8291,0.8822,0.9215,0.6633,3.6
medidas_graphrag_idf_taxonomia,0.03,0.6,0.3,1375,0.7627,0.6662,0.8429,0.8822,0.9244,0.6662,8.0
medidas_graphrag_idf,0.03,1.0,0.3,1375,0.76,0.6662,0.8305,0.8844,0.9222,0.6662,3.7
medidas_graphrag_idf_taxonomia,0.03,1.0,0.3,1375,0.7613,0.6647,0.8385,0.8836,0.9236,0.6647,8.2
medidas_graphrag_idf,0.05,0.3,0.3,1375,0.7546,0.6567,0.832,0.8822,0.9222,0.6567,3.8
medidas_graphrag_idf_taxonomia,0.05,0.3,0.3,1375,0.7611,0.664,0.8407,0.8844,0.9244,0.664,8.1
medidas_graphrag_idf,0.05,0.6,0.3,1375,0.7592,0.6625,0.8371,0.8829,0.9229,0.6625,3.8
medidas_graphrag_idf_taxonomia,0.05,0.6,0.3,1375,0.763,0.6676,0.8415,0.8858,0.9229,0.6676,8.1
medidas_graphrag_idf,0.05,1.0,0.3,1375,0.7583,0.6611,0.8364,0.8836,0.9222,0.6611,3.7
medidas_graphrag_idf_taxonomia,0.05,1.0,0.3,1375,0.7541,0.656,0.8335,0.8822,0.9222,0.656,8.1
medidas_graphrag_idf,0.08,0.3,0.3,1375,0.7589,0.6625,0.8349,0.8865,0.9244,0.6625,3.6
medidas_graphrag_idf_taxonomia,0.08,0.3,0.3,1375,0.7586,0.6618,0.8371,0.8865,0.9258,0.6618,7.9
medidas_graphrag_idf,0.08,0.6,0.3,1375,0.7591,0.6611,0.8378,0.8873,0.9236,0.6611,3.8
medidas_graphrag_idf_taxonomia,0.08,0.6,0.3,1375,0.7528,0.6538,0.8305,0.8829,0.9222,0.6538,8.2
medidas_graphrag_idf,0.08,1.0,0.3,1375,0.7544,0.6545,0.8342,0.8858,0.9222,0.6545,3.8
medidas_graphrag_idf_taxonomia,0.08,1.0,0.3,1375,0.7399,0.6385,0.8211,0.8771,0.9207,0.6385,8.1
medidas_graphrag_idf,0.12,0.3,0.3,1375,0.7565,0.6589,0.8356,0.888,0.9258,0.6589,4.0
medidas_graphrag_idf_taxonomia,0.12,0.3,0.3,1375,0.7504,0.6502,0.8313,0.8822,0.9222,0.6502,8.2
medidas_graphrag_idf,0.12,0.6,0.3,1375,0.7537,0.6538,0.8342,0.888,0.9229,0.6538,3.9
medidas_graphrag_idf_taxonomia,0.12,0.6,0.3,1375,0.7427,0.6415,0.8211,0.8793,0.9185,0.6415,8.2
medidas_graphrag_idf,0.12,1.0,0.3,1375,0.746,0.6429,0.8298,0.8844,0.9222,0.6429,3.7
medidas_graphrag_idf_taxonomia,0.12,1.0,0.3,1375,0.7235,0.616,0.8109,0.8742,0.9164,0.616,7.8
