pos,peso_fusao_tfidf,peso_fusao_tfidf_char,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
nada,0.1,0.1,1375,0.741,0.6407,0.8196,0.8756,0.9178,0.6407,4.7
medidas_graphrag_idf,0.1,0.1,1375,0.7577,0.6596,0.8385,0.8858,0.9236,0.6596,12.0
nada,0.1,0.15,1375,0.7422,0.6436,0.8175,0.8756,0.9164,0.6436,3.6
medidas_graphrag_idf,0.1,0.15,1375,0.7587,0.6618,0.8342,0.8851,0.9222,0.6618,3.9
nada,0.1,0.2,1375,0.7398,0.6407,0.8153,0.8713,0.9156,0.6407,3.6
medidas_graphrag_idf,0.1,0.2,1375,0.7558,0.6575,0.8349,0.8807,0.9215,0.6575,3.8
nada,0.1,0.3,1375,0.7353,0.6356,0.8131,0.8676,0.9142,0.6356,3.5
medidas_graphrag_idf,0.1,0.3,1375,0.7527,0.6545,0.8313,0.8793,0.9222,0.6545,3.7
nada,0.15,0.1,1375,0.7403,0.6378,0.8211,0.8778,0.9193,0.6378,3.6
medidas_graphrag_idf,0.15,0.1,1375,0.7591,0.6625,0.8378,0.8858,0.9251,0.6625,3.8
nada,0.15,0.15,1375,0.7433,0.6444,0.8189,0.8756,0.9178,0.6444,3.5
medidas_graphrag_idf,0.15,0.15,1375,0.7583,0.6611,0.8364,0.8836,0.9222,0.6611,3.7
nada,0.15,0.2,1375,0.7406,0.6407,0.8189,0.8705,0.9178,0.6407,3.8
medidas_graphrag_idf,0.15,0.2,1375,0.7567,0.6589,0.832,0.8836,0.9222,0.6589,4.0
nada,0.15,0.3,1375,0.7358,0.6349,0.8153,0.8698,0.9149,0.6349,3.6
medidas_graphrag_idf,0.15,0.3,1375,0.7542,0.656,0.8327,0.8807,0.9229,0.656,3.8
nada,0.2,0.1,1375,0.74,0.6385,0.816,0.8742,0.9178,0.6385,3.5
medidas_graphrag_idf,0.2,0.1,1375,0.7566,0.6582,0.8342,0.8851,0.9229,0.6582,3.7
nada,0.2,0.15,1375,0.7378,0.6335,0.8204,0.872,0.9193,0.6335,3.6
medidas_graphrag_idf,0.2,0.15,1375,0.7571,0.6582,0.8335,0.8844,0.9236,0.6582,3.8
nada,0.2,0.2,1375,0.7376,0.6349,0.8175,0.8705,0.9193,0.6349,3.5
medidas_graphrag_idf,0.2,0.2,1375,0.7555,0.656,0.8335,0.8829,0.9229,0.656,3.8
nada,0.2,0.3,1375,0.7348,0.6335,0.8116,0.8669,0.9178,0.6335,3.6
medidas_graphrag_idf,0.2,0.3,1375,0.7532,0.6538,0.8327,0.8836,0.9236,0.6538,3.8
nada,0.3,0.1,1375,0.7332,0.6255,0.8204,0.8735,0.9178,0.6255,3.7
medidas_graphrag_idf,0.3,0.1,1375,0.7532,0.6531,0.8291,0.88,0.9251,0.6531,3.9
nada,0.3,0.15,1375,0.7342,0.6276,0.8167,0.8698,0.9222,0.6276,3.6
medidas_graphrag_idf,0.3,0.15,1375,0.7544,0.6545,0.8327,0.8829,0.9251,0.6545,3.8
nada,0.3,0.2,1375,0.734,0.6269,0.8175,0.8669,0.9215,0.6269,3.7
medidas_graphrag_idf,0.3,0.2,1375,0.7554,0.6567,0.8327,0.8822,0.9229,0.6567,3.9
nada,0.3,0.3,1375,0.7335,0.6284,0.8196,0.864,0.9207,0.6284,3.6
medidas_graphrag_idf,0.3,0.3,1375,0.7526,0.6516,0.8313,0.8815,0.9229,0.6516,3.9
