pos,peso_medidas,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s,recall_at_3_p0,recall_at_3_p1
nada,0.03,1375,0.7433,0.6444,0.8189,0.8756,0.9178,0.6444,5.1,0.8023,0.8355
medidas_graphrag_idf,0.03,1375,0.76,0.6662,0.8305,0.8844,0.9222,0.6662,12.5,0.8125,0.8486
medidas_graphrag_idf_taxonomia,0.03,1375,0.7616,0.6655,0.84,0.8844,0.9251,0.6655,17.2,0.8241,0.8559
combinado_calibrado,0.03,1375,0.7627,0.6662,0.8429,0.8822,0.9244,0.6662,17.4,0.8328,0.853
nada,0.05,1375,0.7433,0.6444,0.8189,0.8756,0.9178,0.6444,4.0,0.8023,0.8355
medidas_graphrag_idf,0.05,1375,0.7583,0.6611,0.8364,0.8836,0.9222,0.6611,4.2,0.8256,0.8472
medidas_graphrag_idf_taxonomia,0.05,1375,0.7503,0.6509,0.8313,0.8771,0.9236,0.6509,8.5,0.8212,0.8413
combinado_calibrado,0.05,1375,0.763,0.6676,0.8415,0.8858,0.9229,0.6676,8.7,0.8285,0.8544
nada,0.08,1375,0.7433,0.6444,0.8189,0.8756,0.9178,0.6444,4.0,0.8023,0.8355
medidas_graphrag_idf,0.08,1375,0.7544,0.6545,0.8342,0.8858,0.9222,0.6545,4.2,0.8183,0.8501
medidas_graphrag_idf_taxonomia,0.08,1375,0.7353,0.6327,0.8167,0.8727,0.9156,0.6327,9.9,0.8038,0.8297
combinado_calibrado,0.08,1375,0.7528,0.6538,0.8305,0.8829,0.9222,0.6538,10.2,0.814,0.8472
