pos,peso_fusao_tfidf,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
nada,0.1,1375,0.7266,0.6298,0.7971,0.856,0.8996,0.6298,0.8
medidas_graphrag_idf,0.1,1375,0.7335,0.632,0.8189,0.8705,0.9113,0.632,8.2
medidas_graphrag_idf_taxonomia,0.1,1375,0.7162,0.6116,0.8087,0.8625,0.8996,0.6116,13.7
nada,0.2,1375,0.73,0.6262,0.8087,0.8655,0.9113,0.6262,0.1
medidas_graphrag_idf,0.2,1375,0.7418,0.6422,0.8196,0.8764,0.9185,0.6422,0.4
medidas_graphrag_idf_taxonomia,0.2,1375,0.732,0.6305,0.8145,0.8713,0.912,0.6305,5.3
nada,0.3,1375,0.7264,0.6204,0.8044,0.8684,0.9164,0.6204,0.1
medidas_graphrag_idf,0.3,1375,0.742,0.6407,0.8204,0.8756,0.9207,0.6407,0.4
medidas_graphrag_idf_taxonomia,0.3,1375,0.733,0.6305,0.8167,0.8742,0.9142,0.6305,5.1
nada,0.4,1375,0.7209,0.6138,0.8,0.8647,0.9142,0.6138,0.1
medidas_graphrag_idf,0.4,1375,0.7354,0.6305,0.8116,0.8713,0.9185,0.6305,0.4
medidas_graphrag_idf_taxonomia,0.4,1375,0.7314,0.624,0.8116,0.8727,0.92,0.624,5.4
nada,0.5,1375,0.7139,0.6036,0.7978,0.8618,0.9135,0.6036,0.1
medidas_graphrag_idf,0.5,1375,0.7324,0.6269,0.8109,0.8669,0.9142,0.6269,0.3
medidas_graphrag_idf_taxonomia,0.5,1375,0.732,0.6255,0.816,0.8727,0.9193,0.6255,5.2
nada,0.7,1375,0.7078,0.5993,0.7913,0.8531,0.9091,0.5993,0.1
medidas_graphrag_idf,0.7,1375,0.7259,0.6196,0.8051,0.8625,0.9098,0.6196,0.3
medidas_graphrag_idf_taxonomia,0.7,1375,0.7306,0.6262,0.8131,0.8705,0.9185,0.6262,4.6
