pos,peso_medidas,taxonomia_peso_grupo,taxonomia_min_obs,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
taxonomia,0.01,0.0,2,1375,0.6821,0.576,0.7498,0.8189,0.8858,0.576,2.3
medidas_taxonomia,0.01,0.0,2,1375,0.703,0.6029,0.7702,0.8349,0.8895,0.6029,5.6
taxonomia,0.01,0.0,5,1375,0.6809,0.5745,0.7484,0.8189,0.8858,0.5745,1.8
medidas_taxonomia,0.01,0.0,5,1375,0.7027,0.6022,0.7724,0.8342,0.8895,0.6022,1.9
taxonomia,0.01,0.3,2,1375,0.681,0.5731,0.7505,0.8211,0.8858,0.5731,3.4
medidas_taxonomia,0.01,0.3,2,1375,0.7018,0.6,0.7709,0.8364,0.8902,0.6,3.4
taxonomia,0.01,0.3,5,1375,0.6802,0.5724,0.7491,0.8211,0.8851,0.5724,3.2
medidas_taxonomia,0.01,0.3,5,1375,0.7018,0.6,0.7716,0.8356,0.8895,0.6,3.3
taxonomia,0.02,0.0,2,1375,0.6763,0.5665,0.7505,0.8138,0.8815,0.5665,1.7
medidas_taxonomia,0.02,0.0,2,1375,0.6998,0.5978,0.7716,0.8313,0.8858,0.5978,1.8
taxonomia,0.02,0.0,5,1375,0.6772,0.5687,0.7484,0.8153,0.8815,0.5687,2.0
medidas_taxonomia,0.02,0.0,5,1375,0.7009,0.6,0.7709,0.8313,0.8858,0.6,2.1
taxonomia,0.02,0.3,2,1375,0.6804,0.5731,0.752,0.8196,0.8822,0.5731,3.2
medidas_taxonomia,0.02,0.3,2,1375,0.7021,0.6015,0.7731,0.8349,0.8851,0.6015,3.3
taxonomia,0.02,0.3,5,1375,0.6805,0.5738,0.7498,0.8196,0.8815,0.5738,3.4
medidas_taxonomia,0.02,0.3,5,1375,0.7025,0.6022,0.7724,0.8349,0.8844,0.6022,3.4
taxonomia,0.05,0.0,2,1375,0.6484,0.5382,0.7142,0.7898,0.8676,0.5382,1.8
medidas_taxonomia,0.05,0.0,2,1375,0.6648,0.5549,0.7295,0.8131,0.8756,0.5549,1.9
taxonomia,0.05,0.0,5,1375,0.6474,0.5382,0.7113,0.7876,0.8676,0.5382,1.8
medidas_taxonomia,0.05,0.0,5,1375,0.664,0.5549,0.728,0.8116,0.8756,0.5549,1.8
taxonomia,0.05,0.3,2,1375,0.6573,0.5462,0.7258,0.7978,0.8735,0.5462,3.8
medidas_taxonomia,0.05,0.3,2,1375,0.6702,0.5615,0.7345,0.8196,0.8785,0.5615,3.9
taxonomia,0.05,0.3,5,1375,0.6551,0.5447,0.7229,0.7949,0.8727,0.5447,3.3
medidas_taxonomia,0.05,0.3,5,1375,0.6689,0.5607,0.7331,0.8182,0.8778,0.5607,3.3
taxonomia,0.1,0.0,2,1375,0.6211,0.504,0.6873,0.7687,0.8567,0.504,1.7
medidas_taxonomia,0.1,0.0,2,1375,0.6373,0.5207,0.7018,0.7942,0.8684,0.5207,1.8
taxonomia,0.1,0.0,5,1375,0.6217,0.5076,0.6836,0.7658,0.8553,0.5076,1.7
medidas_taxonomia,0.1,0.0,5,1375,0.6382,0.5236,0.7025,0.7913,0.8676,0.5236,1.8
taxonomia,0.1,0.3,2,1375,0.6289,0.5164,0.6945,0.7695,0.8524,0.5164,3.4
medidas_taxonomia,0.1,0.3,2,1375,0.6394,0.5229,0.7076,0.7956,0.8625,0.5229,3.5
taxonomia,0.1,0.3,5,1375,0.628,0.5178,0.6895,0.7651,0.8502,0.5178,3.2
medidas_taxonomia,0.1,0.3,5,1375,0.6395,0.5251,0.7069,0.7935,0.8611,0.5251,3.2
