posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
1,nada + e5 + unidades_graphrag,nada,e5,unidades_graphrag,1012,0.5622,0.4387,0.6522,0.7223,0.8182,0.4387,0.15
2,basico + e5 + unidades,basico,e5,unidades,1012,0.5547,0.4328,0.6304,0.7204,0.8172,0.4328,0.09
3,basico + e5 + unidades_graphrag,basico,e5,unidades_graphrag,1012,0.5532,0.4279,0.6344,0.7204,0.8172,0.4279,0.12
4,nada + e5 + unidades,nada,e5,unidades,1012,0.5501,0.4249,0.6354,0.7134,0.8182,0.4249,0.14
5,basico + e5 + nada,basico,e5,nada,1012,0.5331,0.4101,0.6067,0.7105,0.8172,0.4101,0.06
6,nada + e5 + graphrag,nada,e5,graphrag,1012,0.5322,0.4061,0.6136,0.7026,0.8182,0.4061,0.1
7,rede_semantica + e5 + unidades_graphrag,rede_semantica,e5,unidades_graphrag,1012,0.5272,0.4081,0.6077,0.6848,0.7846,0.4081,0.11
8,basico + tfidf + unidades_graphrag,basico,tfidf,unidades_graphrag,1012,0.5262,0.4032,0.6008,0.6947,0.8024,0.4032,0.28
9,nada + e5 + nada,nada,e5,nada,1012,0.5234,0.3962,0.6038,0.6966,0.8182,0.3962,0.08
10,basico + e5 + graphrag,basico,e5,graphrag,1012,0.5231,0.3982,0.5939,0.6947,0.8172,0.3982,0.09
11,graphrag_leve + e5 + unidades,graphrag_leve,e5,unidades,1012,0.5211,0.4061,0.6038,0.667,0.7569,0.4061,0.12
12,rede_semantica + e5 + unidades,rede_semantica,e5,unidades,1012,0.5188,0.4012,0.5919,0.6868,0.7846,0.4012,0.1
13,rede_semantica + tfidf + unidades_graphrag,rede_semantica,tfidf,unidades_graphrag,1012,0.5166,0.3992,0.5988,0.6719,0.7688,0.3992,0.32
14,basico + tfidf + unidades,basico,tfidf,unidades,1012,0.5075,0.3844,0.5731,0.665,0.8024,0.3844,0.26
15,graphrag_leve + e5 + unidades_graphrag,graphrag_leve,e5,unidades_graphrag,1012,0.5063,0.3864,0.583,0.67,0.7569,0.3864,0.15
16,rede_semantica + e5 + nada,rede_semantica,e5,nada,1012,0.502,0.3844,0.5692,0.6729,0.7846,0.3844,0.06
17,rede_semantica + e5 + graphrag,rede_semantica,e5,graphrag,1012,0.5008,0.3794,0.5751,0.667,0.7846,0.3794,0.08
18,basico + e5 + pdm,basico,e5,pdm,1012,0.4977,0.3656,0.5652,0.6838,0.8172,0.3656,0.14
19,basico + tfidf + graphrag,basico,tfidf,graphrag,1012,0.4976,0.3686,0.5741,0.6729,0.8024,0.3686,0.25
20,basico + fuzzy + unidades_graphrag,basico,fuzzy,unidades_graphrag,1012,0.4957,0.3962,0.5553,0.6324,0.7154,0.3962,4.43
21,rede_semantica + tfidf + unidades,rede_semantica,tfidf,unidades,1012,0.4937,0.3735,0.5692,0.6522,0.7688,0.3735,0.3
22,graphrag_leve + e5 + nada,graphrag_leve,e5,nada,1012,0.4935,0.3794,0.5613,0.6453,0.7569,0.3794,0.09
23,graphrag + e5 + unidades,graphrag,e5,unidades,1012,0.4866,0.3725,0.5593,0.6374,0.7441,0.3725,0.12
24,rede_semantica + tfidf + graphrag,rede_semantica,tfidf,graphrag,1012,0.4863,0.3636,0.5702,0.6492,0.7688,0.3636,0.28
25,rede_semantica + fuzzy + unidades_graphrag,rede_semantica,fuzzy,unidades_graphrag,1012,0.4851,0.3883,0.5583,0.6176,0.6868,0.3883,5.06
26,nada + e5 + pdm,nada,e5,pdm,1012,0.4849,0.3508,0.5593,0.665,0.8182,0.3508,0.2
27,graphrag + e5 + unidades_graphrag,graphrag,e5,unidades_graphrag,1012,0.4837,0.3666,0.5613,0.6413,0.7441,0.3666,0.17
28,basico + fuzzy + unidades,basico,fuzzy,unidades,1012,0.4815,0.3755,0.5484,0.6235,0.7154,0.3755,4.43
29,nada + e5_cross + unidades_graphrag,nada,e5_cross,unidades_graphrag,1012,0.4791,0.3617,0.5128,0.5781,0.8182,0.3617,0.11
30,graphrag_leve + tfidf + unidades_graphrag,graphrag_leve,tfidf,unidades_graphrag,1012,0.4789,0.3597,0.5534,0.6403,0.751,0.3597,0.38
